dimension_3_code,dimension_3_name,dimension_2_code,function_group,status
DRN0001,NETEJA,CCR00002,neteja,active
DRN0002,CUINA,CCR00002,cuina,active
DRN0003,SALA,CCR00002,sala,active
DRN0004,COMERCIAL,CCR00002,comercial,active
DRI0001,NETEJA,CCR00006,neteja,active
DRI0002,CUINA,CCR00006,cuina,active
DRI0003,SALA,CCR00006,sala,active
DRI0004,COMERCIAL,CCR00006,comercial,active
DBI0001,SALA,CCB00002,sala,active
DBI0002,CUINA,CCB00002,cuina,active
DBI0003,NETEJA,CCB00002,neteja,active
DBI0004,LOGISTICA,CCB00002,logistica,active
DFF0001,ADMINSTRACIO,CCF00001,admin,active
DFF0002,COMERCIAL,CCF00001,comercial,active
DFF0003,SALA,CCF00001,sala,active
DFF0004,CUINA,CCF00001,cuina,active
DFF0005,NETEJA,CCF00001,neteja,active
DFF0006,LOGISTICA,CCF00001,logistica,active
